Weekday,Time,Channel,ProgramName,Image,TV,Link,IG,Desc
day2,23:00,CX,雪降花的初戀,11,https://www.ktv.jp/sunokoi/,,,
day2,23:56,TBS,毒戀～有毒的話就成為愛情了～,12,https://www.tbs.co.jp/dokukoi_tbs/,,,
day2,0:00,NTV,3年C班出軌了,13,,,,
day2,1:00,MBS,戀上換裝娃娃,14,,https://drive.google.com/drive/folders/1-f5E5vUDjwLi-aGHiI_k8WE86clootDs?usp=drive_link,,
day2,1:00,TX,銀翼超人,15,,,,
day3,21:00,EX,相棒season23,16,https://www.tv-asahi.co.jp/aibou/,,,
day3,22:00,CX,全領域異常解決室,17,https://www.fujitv.co.jp/zenketsu/,https://www.viu.com/ott/hk/zh/vod/2440187/%E5%85%A8%E9%A0%98%E5%9F%9F%E7%95%B0%E5%B8%B8%E8%A7%A3%E6%B1%BA%E5%AE%A4,,
day3,23:00,松竹東急,面露一人飯2,18,https://www.shochiku-tokyu.co.jp/mentsuyu-hitorimeshi2/,,,
day3,0:00,NTV,高杉家的愛心便當,19,,,,
day3,1:00,TX,我鎮上的千葉君。,20,,,,
day4,21:00,EX,The Travel Nurse,21,https://www.tv-asahi.co.jp/the_travelnurse/,,,
day4,22:00,CX,我的寶物,22,https://www.fujitv.co.jp/takaramono/,,,
day4,23:59,NTV,OCTO～感情搜查官心野朱梨～第二季,23,,https://drive.google.com/drive/folders/12y2eBhOasSAvSMSHd7Qhacj7F8AONoSP?usp=drive_link,,
day4,0:30,TX,Chaser Game Ｗ 2,24,,https://drive.google.com/drive/folders/1BeFzowSEmQntfyFN6uDOyrF2zNI2RGym?usp=drive_link,,
day4,1:00,MBS,初次見面，您好，請和我離婚,25,,,,
day4,1:00,TX,下山飯,26,,,,
day4,1:00,YTV,津津井小姐,27,,https://drive.google.com/drive/folders/1AJtGZ3XoCzSfMB1_cfWGRA1yedrZhVex?usp=drive_link,,
day4,0:00,PrimeVideo,我推的孩子,28,,,,
day5,21:00,TX,D＆D ～醫者與刑事的搜査線～,29,https://www.tv-tokyo.co.jp/dd/,,,
day5,21:00,MX,你繼承的香氣,30,,,,
day5,22:00,TBS,獅子的藏身處,31,https://www.tbs.co.jp/lionnokakurega_tbs/,https://drive.google.com/drive/folders/1HxGPwHNqUjLTr3-Lw4O_ymG6XmhJK8oX?usp=drive_link,,
day5,23:00,EX,無能之鷹,32,https://www.tv-asahi.co.jp/muno_no_taka/cast/,https://www.viu.com/ott/hk/zh/vod/2440324/%E7%84%A1%E8%83%BD%E4%B9%8B%E9%B7%B9,,
day5,0:12,TX,各自的孤獨美食家,33,,https://drive.google.com/drive/folders/1HKhOG6qFPraFXYk-FHih_9nzHrnPKXs7?usp=drive_link,,
day5,0:30,NTV,離婚女律師 Spider,34,,,,
day5,0:00,PrimeVideo,人中之龍～Beyond the Game～,35,,,,
day6,21:00,NTV,放課後的病歷表,36,https://www.ntv.co.jp/houkagokarte/,https://drive.google.com/drive/folders/1EoFW3ngVzGzkj73cVKPErOTYenogCTKR?usp=drive_link,,
day6,22:00,NHK G,3000萬,37,https://www.nhk.jp/p/ts/9L69M8XJVX/,https://drive.google.com/drive/folders/1aGR4e47FufOEd0atBHjWtYaEBoIEqyUs?usp=drive_link,,
day6,22:00,NTV,臥底兄妹 特殊詐欺特命調查員,38,https://www.ntv.co.jp/sennyu/,,,
day6,23:00,EX,我們戀愛的理由,39,https://www.tv-asahi.co.jp/watakoi/,https://drive.google.com/drive/folders/1at8rSQF8oh36Ff0ILtVWIosgcDFfdfeM?usp=drive_link,https://www.instagram.com/oshidora_ex?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,菊池風磨飾演的是33歲的營業部課長黑澤智也，性格內斂，不輕易表露情感，言語簡潔直接，因而經常給人冷漠的印象，也常常讓周圍的人感到畏懼。黑澤原本對可能引發煩惱的人際關係——特別是戀愛——保持距離，但他的部下森田葵（久間田琳加飾）卻改變了他的想法。
day6,23:40,THK,觸擊手,40,https://www.tokai-tv.com/buntman/?fbclid=PAZXh0bgNhZW0CMTEAAabhQCQEEODBI7BoB08JpMBG4Jl6YriYg9biBOxW6MNVe32Ny-zkeNwseB4_aem_aiQpj1r9CSuyV6SN99djYg,,https://www.instagram.com/new_dodora_tokaitv?utm_source=ig_web_button_share_sheet&igsh=ZDNlZDc0MzIxNw==,故事講述曾是龍隊強力打者的柳澤大翔（鈴木伸之飾）在被釋出後，如何在一般企業奮鬥的原創故事。大翔高中畢業後以選秀第一名進入龍隊，職業生涯的首支安打即為全壘打，開創了光輝的職業生涯。然而，隨後他因傷病和低潮期，成為一軍與二軍間的往返球員。2024年，他的妻子因突發疾病去世，他決心與9歲的兒子一起重新開始，但在賽季結束後卻被釋出。在試訓中也沒有球隊願意簽下他。等待他的是一般企業的工作，與在龍隊時的情況完全相反，他被要求成為一名默默奉獻的「短打俠」。大翔將現實中的困境比作棒球中的「犧牲觸擊」，成為一個支持周圍人的無名英雄“短打俠”，默默地努力著。
day6,0:00,BS TV東,離婚戀,41,,,,
day6,3:00,EX,離婚後夜,42,,,,
day7,20:00,NHK G,致光之君,43,,https://drive.google.com/drive/folders/1P81lOZKP4V3TTj1iszd44lwfHwu1dlae?usp=drive_link,,
day7,21:00,TBS,海中沉睡的鑽石,44,https://www.tbs.co.jp/umininemuru_diamond_tbs/,,,以1955年開始蓬勃發展的長崎縣端島（軍艦島）與現代的東京為背景，描繪橫跨70年的愛情、友情以及家庭的壯闊故事。神木隆之介飾演的主角鐵平，生於端島，性格開朗直率。他出生於礦工家庭，中學畢業後進入長崎的高中、大學就讀，但因為想為心愛的端島做貢獻而決定返鄉。故事從他以鷹羽礦業員工的身份開始工作展開。同劇還有齋藤工 、杉咲花 、池田依來沙 、清水尋也 、土屋太鳳等豪華演員陣容。
day7,22:00,EX,太棒了，老師！,45,,https://drive.google.com/drive/folders/1JoIJR9XRhgdtGEupSxawaygcKXVnk5PF?usp=drive_link,,
day7,23:15,ABC,我的日記,46,https://www.asahi.co.jp/mydiary/,,,
day7,23:00,NTV,若草物語,47,https://www.ntv.co.jp/wakakusa/,https://drive.google.com/drive/folders/1dXu51c5Ff0gi2wwJDLMdkP1050pBa89V?usp=drive_link,https://www.instagram.com/p/C-iuRg_T8li/?utm_source=ig_web_copy_link,劇集的構思基於「如果那四姐妹生活在令和時代的日本」，將故事背景設置在現代，呈現出一部社會派姐妹情誼喜劇。堀田真由飾演四姐妹中的次女町田涼，希望「既不戀愛也不結婚！想一輩子與姐妹一起生活！」，夢想成為編劇並進入電視劇的世界，卻因「某種原因」放棄了寫作，現時作為電視劇製作公司的助理導演，過著忙碌的日子。其他姐妹的角色分別由仁村紗和飾演負責任的長女町田恵、畑芽育飾演活潑且善於撒嬌的么女町田芽、 長濱禰留飾演溫和且心地善良的三女町田衿。
day7,0:00,WOWOW,黃金神威北海道刺青囚犯爭奪篇,48,,https://drive.google.com/drive/folders/10lbVsZMETiEPUekKnHpQURMl9ls98M-q?usp=drive_link,,
