Weekday,Time,Channel,ProgramName,Image,Link,IG,Desc
day2,23:00,CX,雪降花的初戀,11,,,
day2,23:56,TBS,毒戀～有毒的話就成為愛情了～,12,,,
day2,0:00,NTV,3年C班出軌了,13,,,
day2,1:00,MBS,戀上換裝娃娃,14,https://drive.google.com/drive/folders/1-f5E5vUDjwLi-aGHiI_k8WE86clootDs?usp=drive_link,,
day2,1:00,TX,銀翼超人,15,,,
day3,21:00,EX,相棒season23,16,,,
day3,22:00,CX,全領域異常解決室,17,https://www.viu.com/ott/hk/zh/vod/2440187/%E5%85%A8%E9%A0%98%E5%9F%9F%E7%95%B0%E5%B8%B8%E8%A7%A3%E6%B1%BA%E5%AE%A4,,
day3,23:00,松竹東急,面露一人飯2,18,,,
day3,0:00,NTV,高杉家的愛心便當,19,,,
day3,1:00,TX,我鎮上的千葉君。,20,,,
day4,21:00,EX,旅行護理師 2,21,,,
day4,22:00,CX,我的寶物,22,,,
day4,23:59,NTV,OCTO～感情搜查官心野朱梨～第二季,23,https://drive.google.com/drive/folders/12y2eBhOasSAvSMSHd7Qhacj7F8AONoSP?usp=drive_link,,
day4,0:30,TX,Chaser Game Ｗ 2,24,https://drive.google.com/drive/folders/1BeFzowSEmQntfyFN6uDOyrF2zNI2RGym?usp=drive_link,,
day4,1:00,MBS,初次見面，您好，請和我離婚,25,,,
day4,1:00,TX,下山飯,26,,,
day4,1:00,YTV,津津井小姐,27,https://drive.google.com/drive/folders/1AJtGZ3XoCzSfMB1_cfWGRA1yedrZhVex?usp=drive_link,,
day4,0:00,PrimeVideo,我推的孩子,28,,,
day5,21:00,TX,D＆D ～醫者與刑事的搜査線～,29,,,
day5,21:00,MX,你繼承的香氣,30,,,
day5,22:00,TBS,獅子的藏身處,31,https://drive.google.com/drive/folders/1HxGPwHNqUjLTr3-Lw4O_ymG6XmhJK8oX?usp=drive_link,,
day5,23:00,EX,無能之鷹,32,https://www.viu.com/ott/hk/zh/vod/2440324/%E7%84%A1%E8%83%BD%E4%B9%8B%E9%B7%B9,,
day5,0:12,TX,各自的孤獨美食家,33,https://drive.google.com/drive/folders/1HKhOG6qFPraFXYk-FHih_9nzHrnPKXs7?usp=drive_link,,
day5,0:30,NTV,離婚女律師 Spider,34,,,
day5,0:00,PrimeVideo,人中之龍～Beyond the Game～,35,,,
day6,21:00,NTV,放課後的病歷表,36,https://drive.google.com/drive/folders/1EoFW3ngVzGzkj73cVKPErOTYenogCTKR?usp=drive_link,,
day6,22:00,NHK G,3000萬,37,https://drive.google.com/drive/folders/1aGR4e47FufOEd0atBHjWtYaEBoIEqyUs?usp=drive_link,,
day6,22:00,NTV,臥底兄妹 特殊詐欺特命調查員,38,,,
day6,23:00,EX,我們戀愛的理由,39,https://drive.google.com/drive/folders/1at8rSQF8oh36Ff0ILtVWIosgcDFfdfeM?usp=drive_link,,
day6,23:40,THK,觸擊手,40,,,
day6,0:00,BS TV東,離婚戀,41,,,
day6,3:00,EX,離婚後夜,42,,,
day7,20:00,NHK G,致光之君,43,https://drive.google.com/drive/folders/1P81lOZKP4V3TTj1iszd44lwfHwu1dlae?usp=drive_link,,
day7,21:00,TBS,海中沉睡的鑽石,44,,,
day7,22:00,EX,太棒了，老師！,45,https://drive.google.com/drive/folders/1JoIJR9XRhgdtGEupSxawaygcKXVnk5PF?usp=drive_link,,
day7,23:15,ABC,我的日記,46,,,
day7,23:00,NTV,若草物語,47,https://drive.google.com/drive/folders/1dXu51c5Ff0gi2wwJDLMdkP1050pBa89V?usp=drive_link,https://www.instagram.com/p/C-iuRg_T8li/?utm_source=ig_web_copy_link,劇集的構思基於「如果那四姐妹生活在令和時代的日本」，將故事背景設置在現代，呈現出一部社會派姐妹情誼喜劇。堀田真由飾演四姐妹中的次女町田涼，希望「既不戀愛也不結婚！想一輩子與姐妹一起生活！」，夢想成為編劇並進入電視劇的世界，卻因「某種原因」放棄了寫作，現時作為電視劇製作公司的助理導演，過著忙碌的日子。其他姐妹的角色分別由仁村紗和飾演負責任的長女町田恵、畑芽育飾演活潑且善於撒嬌的么女町田芽、 長濱禰留飾演溫和且心地善良的三女町田衿。
day7,0:00,WOWOW,黃金神威北海道刺青囚犯爭奪篇,48,https://drive.google.com/drive/folders/10lbVsZMETiEPUekKnHpQURMl9ls98M-q?usp=drive_link,,
